virus	Total Cases	Total Deaths	Active Cases	Serious Cases	Total Case/1M Population	Total Tests
World	1275163.0	69507.0	939764.0	45896.0	164.0	0
USA	336851.0	9620.0	309254.0	8702.0	1018.0	0
Spain	131646.0	12641.0	80925.0	6861.0	2816.0	355000.0
Italy	128948.0	15887.0	91246.0	3977.0	2133.0	657224.0
Germany	100123.0	1584.0	69839.0	3936.0	1195.0	918460.0
France	92839.0	8078.0	68578.0	6838.0	1422.0	224254.0
China	81708.0	3331.0	1299.0	265.0	57.0	0
Iran	58226.0	3603.0	32612.0	4103.0	693.0	80000.0
UK	47806.0	4934.0	42737.0	1559.0	704.0	0
Turkey	27069.0	574.0	25453.0	1381.0	321.0	181445.0
Switzerland	21100.0	715.0	13087.0	391.0	2438.0	153440.0
Belgium	19691.0	1447.0	14493.0	1261.0	1699.0	18360.0
Netherlands	17851.0	1766.0	15835.0	1385.0	1042.0	75415.0
Canada	15512.0	280.0	12290.0	426.0	411.0	330901.0
Austria	12051.0	204.0	8849.0	244.0	1338.0	108416.0
Brazil	11281.0	487.0	10667.0	296.0	53.0	54824.0
Portugal	11278.0	295.0	10908.0	267.0	1106.0	52086.0
S. Korea	10284.0	186.0	3500.0	55.0	201.0	0
Israel	8611.0	51.0	7975.0	141.0	995.0	109724.0
Sweden	6830.0	401.0	6224.0	541.0	676.0	36900.0
Australia	5788.0	39.0	3434.0	95.0	227.0	294895.0
Norway	5759.0	71.0	5656.0	89.0	1062.0	101986.0
Russia	5389.0	45.0	4989.0	8.0	37.0	758000.0
Ireland	4994.0	158.0	4811.0	165.0	1011.0	30213.0
Czechia	4591.0	72.0	4423.0	84.0	429.0	80304.0
Chile	4471.0	34.0	3819.0	307.0	234.0	44130.0
Denmark	4369.0	179.0	2863.0	142.0	754.0	49249.0
India	4314.0	118.0	3868.0	0	3.0	89534.0
Poland	4102.0	94.0	3846.0	50.0	108.0	80757.0
Romania	3864.0	156.0	3334.0	141.0	201.0	38623.0
Malaysia	3662.0	61.0	2596.0	99.0	113.0	51937.0
Japan	3654.0	85.0	2994.0	69.0	29.0	44639.0
Ecuador	3646.0	180.0	3366.0	100.0	207.0	10317.0
Philippines	3414.0	152.0	3198.0	1.0	31.0	5974.0
Pakistan	3277.0	50.0	2970.0	17.0	15.0	34885.0
Luxembourg	2804.0	36.0	2268.0	33.0	4479.0	0
Saudi Arabia	2463.0	34.0	1941.0	41.0	71.0	0
Peru	2281.0	83.0	1209.0	81.0	69.0	12669.0
Indonesia	2273.0	198.0	1911.0	0	8.0	7896.0
Thailand	2220.0	26.0	1401.0	23.0	32.0	23669.0
Finland	2176.0	28.0	1848.0	73.0	393.0	31700.0
Mexico	2143.0	94.0	1416.0	293.0	17.0	17184.0
Panama	1988.0	54.0	1921.0	78.0	461.0	7333.0
Serbia	1908.0	51.0	1803.0	98.0	218.0	7360.0
UAE	1799.0	10.0	1645.0	1.0	182.0	0
Dominican Republic	1745.0	82.0	1646.0	147.0	161.0	0
Greece	1735.0	73.0	1584.0	93.0	166.0	15961.0
South Africa	1655.0	11.0	1549.0	7.0	28.0	53937.0
Qatar	1604.0	4.0	1477.0	37.0	557.0	0
Argentina	1554.0	46.0	1228.0	86.0	34.0	7385.0
Iceland	1486.0	4.0	1054.0	11.0	4355.0	25394.0
Colombia	1485.0	35.0	1362.0	50.0	29.0	23706.0
Algeria	1320.0	152.0	1078.0	46.0	30.0	0
Ukraine	1319.0	38.0	1253.0	16.0	30.0	5493.0
Singapore	1309.0	6.0	983.0	25.0	224.0	39000.0
Croatia	1182.0	15.0	1042.0	39.0	288.0	10874.0
Egypt	1173.0	78.0	848.0	0	11.0	25000.0
Morocco	1113.0	71.0	966.0	1.0	30.0	0
Estonia	1108.0	19.0	1027.0	14.0	835.0	21004.0
New Zealand	1106.0	1.0	929.0	3.0	229.0	39918.0
Slovenia	997.0	28.0	890.0	31.0	480.0	27109.0
Iraq	961.0	61.0	621.0	0	24.0	0
Hong Kong	891.0	4.0	681.0	8.0	119.0	96709.0
Moldova	864.0	15.0	819.0	80.0	214.0	0
Lithuania	843.0	14.0	822.0	11.0	310.0	25599.0
Armenia	833.0	8.0	763.0	30.0	281.0	4666.0
Hungary	744.0	38.0	639.0	17.0	77.0	21250.0
Diamond Princess	712.0	11.0	82.0	10.0	0	0
Bahrain	700.0	4.0	265.0	3.0	411.0	37996.0
Bosnia and Herzegovina	667.0	26.0	597.0	4.0	203.0	5934.0
Cameroon	650.0	9.0	624.0	0	24.0	0
Azerbaijan	584.0	7.0	545.0	17.0	58.0	40000.0
Kazakhstan	584.0	6.0	536.0	6.0	31.0	5093.0
Tunisia	574.0	22.0	547.0	39.0	49.0	0
Belarus	562.0	8.0	502.0	11.0	59.0	32000.0
Kuwait	556.0	1.0	452.0	17.0	130.0	0
North Macedonia	555.0	18.0	514.0	15.0	266.0	5291.0
Latvia	542.0	1.0	540.0	5.0	287.0	19380.0
Bulgaria	541.0	21.0	481.0	22.0	78.0	15899.0
Lebanon	527.0	18.0	454.0	28.0	77.0	0
Andorra	501.0	18.0	457.0	12.0	6484.0	0
Slovakia	485.0	1.0	476.0	3.0	89.0	15155.0
Costa Rica	454.0	2.0	436.0	14.0	89.0	3845.0
Cyprus	446.0	9.0	400.0	11.0	369.0	0
Uruguay	406.0	6.0	296.0	14.0	117.0	1538.0
Uzbekistan	390.0	2.0	358.0	8.0	12.0	0
Taiwan	373.0	5.0	311.0	0	16.0	37219.0
Afghanistan	367.0	7.0	343.0	0	9.0	0
Albania	361.0	20.0	237.0	7.0	125.0	2396.0
Burkina Faso	345.0	17.0	238.0	0	17.0	0
Jordan	345.0	5.0	230.0	5.0	34.0	0
Réunion	344.0	0	304.0	4.0	384.0	0
Oman	331.0	2.0	268.0	3.0	65.0	0
Cuba	320.0	8.0	297.0	11.0	28.0	0
Channel Islands	309.0	6.0	276.0	0	1777.0	0
Honduras	298.0	22.0	270.0	10.0	30.0	0
San Marino	266.0	32.0	199.0	14.0	7839.0	0
Ivory Coast	261.0	3.0	221.0	0	10.0	0
Vietnam	241.0	0	150.0	8.0	2.0	88551.0
Palestine	237.0	1.0	211.0	0	46.0	2519.0
Nigeria	232.0	5.0	194.0	2.0	1.0	0
Mauritius	227.0	7.0	213.0	1.0	178.0	0
Malta	227.0	0	222.0	3.0	514.0	4462.0
Montenegro	223.0	2.0	220.0	4.0	355.0	1722.0
Senegal	222.0	2.0	138.0	1.0	13.0	0
Kyrgyzstan	216.0	4.0	179.0	5.0	33.0	8186.0
Ghana	214.0	5.0	178.0	2.0	7.0	0
Georgia	188.0	2.0	150.0	6.0	47.0	0
Niger	184.0	10.0	161.0	0	8.0	0
Bolivia	183.0	11.0	170.0	3.0	16.0	591.0
Faeroe Islands	183.0	0	76.0	1.0	3745.0	0
Sri Lanka	176.0	5.0	138.0	5.0	8.0	0
Venezuela	159.0	7.0	100.0	6.0	6.0	1779.0
DRC	154.0	18.0	133.0	0	2.0	0
Martinique	149.0	4.0	95.0	21.0	397.0	0
Mayotte	147.0	2.0	131.0	3.0	539.0	0
Kenya	142.0	4.0	134.0	2.0	3.0	0
Guadeloupe	135.0	7.0	97.0	14.0	337.0	0
Brunei	135.0	1.0	61.0	3.0	309.0	0
Isle of Man	127.0	1.0	126.0	0	1494.0	0
Bangladesh	123.0	13.0	77.0	1.0	0.7	2914.0
Guinea	121.0	0	116.0	0	9.0	0
Cambodia	114.0	0	61.0	1.0	7.0	0
Paraguay	113.0	5.0	96.0	8.0	16.0	0
Trinidad and Tobago	105.0	7.0	97.0	0	75.0	595.0
Rwanda	104.0	0	100.0	0	8.0	0
Gibraltar	103.0	0	51.0	0	3057.0	0
Liechtenstein	77.0	1.0	76.0	0	2020.0	0
Monaco	73.0	1.0	69.0	4.0	1860.0	0
Madagascar	72.0	0	70.0	6.0	3.0	0
Guatemala	70.0	3.0	52.0	3.0	4.0	0
El Salvador	69.0	3.0	64.0	4.0	11.0	0
French Guiana	68.0	0	41.0	1.0	228.0	0
Aruba	64.0	0	63.0	0	599.0	0
Djibouti	59.0	0	50.0	0	60.0	0
Jamaica	58.0	3.0	47.0	0	20.0	442.0
Barbados	56.0	1.0	49.0	4.0	195.0	382.0
Uganda	52.0	0	52.0	0	1.0	0
Congo	45.0	5.0	38.0	0	8.0	0
Mali	45.0	5.0	39.0	0	2.0	0
Togo	44.0	3.0	21.0	0	5.0	0
Macao	44.0	0	34.0	0	68.0	0
Ethiopia	43.0	2.0	37.0	1.0	0.4	0
French Polynesia	41.0	0	41.0	0	146.0	0
Cayman Islands	39.0	1.0	37.0	0	593.0	0
Zambia	39.0	1.0	35.0	0	2.0	0
Sint Maarten	37.0	6.0	30.0	0	863.0	0
Bermuda	37.0	0	23.0	0	594.0	0
Saint Martin	32.0	2.0	23.0	6.0	828.0	0
Bahamas	29.0	5.0	20.0	1.0	74.0	0
Guyana	29.0	4.0	25.0	0	37.0	0
Eritrea	29.0	0	29.0	0	8.0	0
Gabon	24.0	1.0	22.0	0	11.0	0
Tanzania	22.0	1.0	18.0	0	0.4	0
Benin	22.0	0	17.0	0	2.0	0
Haiti	21.0	1.0	19.0	0	2.0	0
Myanmar	21.0	1.0	20.0	0	0.4	0
Syria	19.0	2.0	15.0	0	1.0	0
Maldives	19.0	0	6.0	0	35.0	0
Libya	18.0	1.0	17.0	0	3.0	0
Guinea-Bissau	18.0	0	18.0	0	9.0	0
New Caledonia	18.0	0	17.0	0	63.0	0
Equatorial Guinea	16.0	0	15.0	0	11.0	0
Namibia	16.0	0	13.0	0	6.0	0
Antigua and Barbuda	15.0	0	15.0	1.0	153.0	0
Mongolia	15.0	0	13.0	0	5.0	0
Angola	14.0	2.0	10.0	0	0.4	0
Dominica	14.0	0	14.0	0	194.0	0
Fiji	14.0	0	14.0	0	16.0	0
Saint Lucia	14.0	0	13.0	0	76.0	0
Liberia	13.0	3.0	7.0	0	3.0	0
Sudan	12.0	2.0	8.0	0	0.3	0
Grenada	12.0	0	12.0	2.0	107.0	18.0
Curaçao	11.0	1.0	5.0	0	67.0	0
Greenland	11.0	0	8.0	0	194.0	0
Laos	11.0	0	11.0	0	2.0	0
Suriname	10.0	1.0	9.0	0	17.0	0
Mozambique	10.0	0	9.0	0	0.3	0
Saint Kitts and Nevis	10.0	0	10.0	0	188.0	0
Seychelles	10.0	0	10.0	0	102.0	0
MS Zaandam	9.0	2.0	7.0	0	0	0
Zimbabwe	9.0	1.0	8.0	0	0.6	0
Nepal	9.0	0	8.0	0	0.3	1656.0
Chad	9.0	0	9.0	0	0.5	0
Eswatini	9.0	0	9.0	0	8.0	0
CAR	8.0	0	8.0	0	2.0	0
Cabo Verde	7.0	1.0	6.0	0	13.0	0
Vatican City	7.0	0	7.0	0	8739.0	0
St. Vincent Grenadines	7.0	0	6.0	0	63.0	0
Somalia	7.0	0	6.0	0	0.4	0
Botswana	6.0	1.0	5.0	0	3.0	0
Mauritania	6.0	1.0	3.0	0	1.0	0
Nicaragua	6.0	1.0	5.0	0	0.9	0
Montserrat	6.0	0	6.0	0	1202.0	0
St. Barth	6.0	0	5.0	0	607.0	0
Sierra Leone	6.0	0	6.0	0	0.8	0
Belize	5.0	1.0	4.0	1.0	13.0	0
Turks and Caicos	5.0	1.0	4.0	0	129.0	0
Bhutan	5.0	0	3.0	0	6.0	0
Gambia	4.0	1.0	1.0	0	2.0	0
Malawi	4.0	0	4.0	0	0.2	0
Western Sahara	4.0	0	4.0	0	7.0	0
Anguilla	3.0	0	3.0	0	200.0	0
British Virgin Islands	3.0	0	3.0	0	99.0	0
Burundi	3.0	0	3.0	0	0.3	0
Caribbean Netherlands	2.0	0	2.0	0	76.0	0
Falkland Islands	2.0	0	2.0	0	575.0	0
Papua New Guinea	1.0	0	1.0	0	0.1	0
Saint Pierre Miquelon	1.0	0	1.0	0	173.0	0
South Sudan	1.0	0	1.0	0	0.09	0
Timor-Leste	1.0	0	1.0	0	0.8	0
Total:	1275163.0	69507.0	939764.0	45896.0	163.6	0
Australian Capital Territory	0	0	0	0	0	5354.0
New South Wales	0	0	0	0	0	121433.0
Northern Territory	0	0	0	0	0	2753.0
Queensland	0	0	0	0	0	56132.0
South Australia	0	0	0	0	0	32863.0
Tasmania	0	0	0	0	0	3016.0
Victoria	0	0	0	0	0	56000.0
Western Australia	0	0	0	0	0	18197.0
Alberta	0	0	0	0	0	64806.0
British Columbia	0	0	0	0	0	48508.0
Manitoba	0	0	0	0	0	12998.0
New Brunswick	0	0	0	0	0	5543.0
Newfoundland and Labrador	0	0	0	0	0	3565.0
Northwest Territories	0	0	0	0	0	1255.0
Nova Scotia	0	0	0	0	0	9772.0
Ontario	0	0	0	0	0	75046.0
Prince Edward Island	0	0	0	0	0	1246.0
Quebec	0	0	0	0	0	95936.0
Saskatchewan	0	0	0	0	0	13528.0
Yukon	0	0	0	0	0	753.0
Guangdong	0	0	0	0	0	320000.0
Emilia-Romagna	0	0	0	0	0	67075.0
Liguria	0	0	0	0	0	14087.0
Lombardy	0	0	0	0	0	141877.0
Marche	0	0	0	0	0	14472.0
Piedmont	0	0	0	0	0	37181.0
Tuscany	0	0	0	0	0	47886.0
Veneto	0	0	0	0	0	133289.0
Tokyo	0	0	0	0	0	3806.0
Kosovo	0	0	0	0	0	1964.0
South Korea	0	0	0	0	0	461233.0
United Arab Emirates	0	0	0	0	0	220000.0
United Kingdom	0	0	0	0	0	195524.0
Scotland	0	0	0	0	0	23143.0
United States(unofficial)	0	0	0	0	0	1795855.0
California	0	0	0	0	0	131533.0
Florida	0	0	0	0	0	116898.0
Illinois	0	0	0	0	0	58983.0
Louisiana	0	0	0	0	0	60325.0
Michigan	0	0	0	0	0	40581.0
New Jersey	0	0	0	0	0	82166.0
New York	0	0	0	0	0	302280.0
Texas	0	0	0	0	0	70938.0
Washington	0	0	0	0	0	87918.0
